Sigla Mercato;Anno;Mese;Settimana;DataCompleta;Prezzo
AL;2011;1;1;01/01/2011;
AL;2011;1;2;02/01/2011;266
AL;2011;1;3;03/01/2011;273
AL;2011;1;4;04/01/2011;273
AL;2011;2;1;01/02/2011;278
AL;2011;2;2;02/02/2011;280
AL;2011;2;3;03/02/2011;280
AL;2011;2;4;04/02/2011;280
AL;2011;3;1;01/03/2011;276
AL;2011;3;2;02/03/2011;273
AL;2011;3;3;03/03/2011;263
AL;2011;3;4;04/03/2011;243
AL;2011;3;5;05/03/2011;246
AL;2011;4;1;01/04/2011;250
AL;2011;4;2;02/04/2011;260
AL;2011;4;3;03/04/2011;260
AL;2011;4;4;04/04/2011;
AL;2011;5;1;01/05/2011;260
AL;2011;5;2;02/05/2011;257
AL;2011;5;3;03/05/2011;257
AL;2011;5;4;04/05/2011;257
AL;2011;6;1;01/06/2011;261
AL;2011;6;2;02/06/2011;263
AL;2011;6;3;03/06/2011;
AL;2011;6;4;04/06/2011;
AL;2011;6;5;05/06/2011;
AL;2011;7;1;01/07/2011;207,5
AL;2011;7;2;02/07/2011;207,5
AL;2011;7;3;03/07/2011;207
AL;2011;7;4;04/07/2011;207,5
AL;2011;8;4;04/08/2011;210,5
AL;2011;9;1;01/09/2011;210,5
AL;2011;9;2;02/09/2011;211,5
AL;2011;9;3;03/09/2011;211,5
AL;2011;9;4;04/09/2011;211
AL;2011;9;5;05/09/2011;209
AL;2011;10;1;01/10/2011;206
AL;2011;10;2;02/10/2011;202
AL;2011;10;3;03/10/2011;198
AL;2011;10;4;04/10/2011;198
AL;2011;11;1;01/11/2011;198
AL;2011;11;2;02/11/2011;198
AL;2011;11;3;03/11/2011;198
AL;2011;11;4;04/11/2011;195
AL;2011;12;1;01/12/2011;189
AL;2011;12;2;02/12/2011;189
AL;2011;12;3;03/12/2011;189
AL;2011;12;4;04/12/2011;186
AL;2011;12;5;05/12/2011;
AL;2012;1;1;01/01/2012;
AL;2012;1;2;02/01/2012;192
AL;2012;1;3;03/01/2012;194
AL;2012;1;4;04/01/2012;194
AL;2012;2;1;01/02/2012;195
AL;2012;2;2;02/02/2012;203
AL;2012;2;3;03/02/2012;210
AL;2012;2;4;04/02/2012;207
AL;2012;3;1;01/03/2012;204
AL;2012;3;2;02/03/2012;202
AL;2012;3;3;03/03/2012;202
AL;2012;3;4;04/03/2012;205
AL;2012;3;5;05/03/2012;205
AL;2012;4;1;01/04/2012;209
AL;2012;4;2;02/04/2012;
AL;2012;4;3;03/04/2012;209
AL;2012;5;1;01/05/2012;211
AL;2012;5;2;02/05/2012;215
AL;2012;5;3;03/05/2012;217
AL;2012;5;4;04/05/2012;217
AL;2012;5;5;05/05/2012;219
AL;2012;6;1;01/06/2012;
AL;2012;6;2;02/06/2012;
AL;2012;6;3;03/06/2012;
AL;2012;6;4;04/06/2012;
AL;2012;7;1;01/07/2012;
AL;2012;7;2;02/07/2012;215,5
AL;2012;7;3;03/07/2012;225,5
AL;2012;7;4;04/07/2012;235,5
AL;2012;8;1;01/08/2012;238,5
AL;2012;8;4;04/08/2012;
AL;2012;8;5;05/08/2012;250,5
AL;2012;9;1;01/09/2012;250,5
AL;2012;9;2;02/09/2012;250,5
AL;2012;9;3;03/09/2012;250,5
AL;2012;9;4;04/09/2012;250,5
AL;2012;10;1;01/10/2012;250,5
AL;2012;10;2;02/10/2012;250,5
AL;2012;10;3;03/10/2012;250,5
AL;2012;10;4;04/10/2012;250,5
AL;2012;11;1;01/11/2012;250,5
AL;2012;11;2;02/11/2012;251
AL;2012;11;3;03/11/2012;256
AL;2012;11;4;04/11/2012;259
AL;2012;11;5;05/11/2012;262
AL;2012;12;1;01/12/2012;264,5
AL;2012;12;2;02/12/2012;264,5
AL;2012;12;3;03/12/2012;264,5
AL;2013;1;1;01/01/2013;
AL;2013;1;2;02/01/2013;259,5
AL;2013;1;3;03/01/2013;255,5
AL;2013;1;4;04/01/2013;255,5
AL;2013;1;5;05/01/2013;255,5
AL;2013;2;1;01/02/2013;252,5
AL;2013;2;2;02/02/2013;248,5
AL;2013;2;3;03/02/2013;243,5
AL;2013;2;4;04/02/2013;240,5
AL;2013;3;1;01/03/2013;237,5
AL;2013;3;2;02/03/2013;235,5
AL;2013;3;3;03/03/2013;233,5
AL;2013;3;4;04/03/2013;235,5
AL;2013;4;1;01/04/2013;
AL;2013;4;2;02/04/2013;239,5
AL;2013;4;3;03/04/2013;243
AL;2013;4;4;04/04/2013;245
AL;2013;5;1;01/05/2013;245
AL;2013;5;2;02/05/2013;245
AL;2013;5;3;03/05/2013;241
AL;2013;5;4;04/05/2013;240
AL;2013;5;5;05/05/2013;240
AL;2013;6;1;01/06/2013;238
AL;2013;6;2;02/06/2013;
AL;2013;6;3;03/06/2013;
AL;2013;6;4;04/06/2013;
AL;2013;7;1;01/07/2013;
AL;2013;7;2;02/07/2013;
AL;2013;7;3;03/07/2013;190,5
AL;2013;7;4;04/07/2013;187,5
AL;2013;8;1;01/08/2013;184,5
AL;2013;8;4;04/08/2013;
AL;2013;8;5;05/08/2013;183,5
AL;2013;9;1;01/09/2013;183,5
AL;2013;9;2;02/09/2013;183,5
AL;2013;9;3;03/09/2013;183,5
AL;2013;9;4;04/09/2013;181,5
AL;2013;10;1;01/10/2013;180,5
AL;2013;10;2;02/10/2013;180,5
AL;2013;10;3;03/10/2013;182,5
AL;2013;10;4;04/10/2013;185,5
AL;2013;10;5;05/10/2013;190,5
AL;2013;11;1;01/11/2013;190,5
AL;2013;11;2;02/11/2013;190,5
AL;2013;11;3;03/11/2013;192
BO;2011;1;1;01/01/2011;276
BO;2011;1;2;02/01/2011;282
BO;2011;1;3;03/01/2011;287
BO;2011;1;4;04/01/2011;293
BO;2011;2;1;01/02/2011;293
BO;2011;2;2;02/02/2011;293
BO;2011;2;3;03/02/2011;293
BO;2011;2;4;04/02/2011;288
BO;2011;3;1;01/03/2011;283
BO;2011;3;2;02/03/2011;273
BO;2011;3;3;03/03/2011;
BO;2011;3;4;04/03/2011;268
BO;2011;3;5;05/03/2011;268
BO;2011;4;1;01/04/2011;275
BO;2011;4;2;02/04/2011;275
BO;2011;4;3;03/04/2011;275
BO;2011;4;4;04/04/2011;275
BO;2011;5;1;01/05/2011;273
BO;2011;5;2;02/05/2011;273
BO;2011;5;3;03/05/2011;273
BO;2011;5;4;04/05/2011;275
BO;2011;6;1;01/06/2011;278
BO;2011;6;2;02/06/2011;
BO;2011;6;3;03/06/2011;
BO;2011;6;4;04/06/2011;225,5
BO;2011;6;5;05/06/2011;225,5
BO;2011;7;1;01/07/2011;225,5
BO;2011;7;2;02/07/2011;225,5
BO;2011;7;3;03/07/2011;225,5
BO;2011;7;4;04/07/2011;225,5
BO;2011;8;4;04/08/2011;225,5
BO;2011;9;1;01/09/2011;227,5
BO;2011;9;2;02/09/2011;227,5
BO;2011;9;3;03/09/2011;224,5
BO;2011;9;4;04/09/2011;222,5
BO;2011;9;5;05/09/2011;218,5
BO;2011;10;1;01/10/2011;213,5
BO;2011;10;2;02/10/2011;208,5
BO;2011;10;3;03/10/2011;208,5
BO;2011;10;4;04/10/2011;209,5
BO;2011;11;1;01/11/2011;208,5
BO;2011;11;2;02/11/2011;208,5
BO;2011;11;3;03/11/2011;208,5
BO;2011;11;4;04/11/2011;205,5
BO;2011;12;1;01/12/2011;205,5
BO;2011;12;2;02/12/2011;204,5
BO;2011;12;3;03/12/2011;204,5
BO;2011;12;4;04/12/2011;207,5
BO;2011;12;5;05/12/2011;207,5
BO;2012;1;1;01/01/2012;213,5
BO;2012;1;2;02/01/2012;215,5
BO;2012;1;3;03/01/2012;215,5
BO;2012;1;4;04/01/2012;215,5
BO;2012;2;1;01/02/2012;222,5
BO;2012;2;2;02/02/2012;227,5
BO;2012;2;3;03/02/2012;225,5
BO;2012;2;4;04/02/2012;222,5
BO;2012;3;1;01/03/2012;220,5
BO;2012;3;2;02/03/2012;220,5
BO;2012;3;3;03/03/2012;222,5
BO;2012;3;4;04/03/2012;224,5
BO;2012;3;5;05/03/2012;227,5
BO;2012;4;1;01/04/2012;227,5
BO;2012;4;2;02/04/2012;227,5
BO;2012;4;3;03/04/2012;227,5
BO;2012;5;1;01/05/2012;232,5
BO;2012;5;2;02/05/2012;232,5
BO;2012;5;3;03/05/2012;230,5
BO;2012;5;4;04/05/2012;230,5
BO;2012;5;5;05/05/2012;230,5
BO;2012;6;1;01/06/2012;228,5
BO;2012;6;2;02/06/2012;
BO;2012;6;3;03/06/2012;
BO;2012;6;4;04/06/2012;221,5
BO;2012;7;1;01/07/2012;229,5
BO;2012;7;2;02/07/2012;241,5
BO;2012;7;3;03/07/2012;252,5
BO;2012;7;4;04/07/2012;254,5
BO;2012;8;1;01/08/2012;258,5
BO;2012;8;4;04/08/2012;268,5
BO;2012;8;5;05/08/2012;268,5
BO;2012;9;1;01/09/2012;268,5
BO;2012;9;2;02/09/2012;268,5
BO;2012;9;3;03/09/2012;268,5
BO;2012;9;4;04/09/2012;266,5
BO;2012;10;1;01/10/2012;266,5
BO;2012;10;2;02/10/2012;266,5
BO;2012;10;3;03/10/2012;266,5
BO;2012;10;4;04/10/2012;266,5
BO;2012;11;1;01/11/2012;266,5
BO;2012;11;2;02/11/2012;271,5
BO;2012;11;3;03/11/2012;274,5
BO;2012;11;4;04/11/2012;274,5
BO;2012;11;5;05/11/2012;278,5
BO;2012;12;1;01/12/2012;278,5
BO;2012;12;2;02/12/2012;278,5
BO;2012;12;3;03/12/2012;278,5
BO;2013;1;1;01/01/2013;276,5
BO;2013;1;2;02/01/2013;272,5
BO;2013;1;3;03/01/2013;271,5
BO;2013;1;4;04/01/2013;269,5
BO;2013;1;5;05/01/2013;264,5
BO;2013;2;1;01/02/2013;261,5
BO;2013;2;2;02/02/2013;257,5
BO;2013;2;3;03/02/2013;254,5
BO;2013;2;4;04/02/2013;252,5
BO;2013;3;1;01/03/2013;250,5
BO;2013;3;2;02/03/2013;249,5
BO;2013;3;3;03/03/2013;251,5
BO;2013;3;4;04/03/2013;256,5
BO;2013;4;1;01/04/2013;256,5
BO;2013;4;2;02/04/2013;259,5
BO;2013;4;3;03/04/2013;262,5
BO;2013;4;4;04/04/2013;262,5
BO;2013;5;1;01/05/2013;262,5
BO;2013;5;2;02/05/2013;262,5
BO;2013;5;3;03/05/2013;257,5
BO;2013;5;4;04/05/2013;255,5
BO;2013;5;5;05/05/2013;253,5
BO;2013;6;1;01/06/2013;256,5
BO;2013;6;2;02/06/2013;
BO;2013;6;3;03/06/2013;
BO;2013;6;4;04/06/2013;
BO;2013;7;1;01/07/2013;211,5
BO;2013;7;2;02/07/2013;208,5
BO;2013;7;3;03/07/2013;206,5
BO;2013;7;4;04/07/2013;202,5
BO;2013;8;1;01/08/2013;202,5
BO;2013;8;4;04/08/2013;201,5
BO;2013;8;5;05/08/2013;201,5
BO;2013;9;1;01/09/2013;201,5
BO;2013;9;2;02/09/2013;201,5
BO;2013;9;3;03/09/2013;201
BO;2013;9;4;04/09/2013;197,5
BO;2013;10;1;01/10/2013;197,5
BO;2013;10;2;02/10/2013;197,5
BO;2013;10;3;03/10/2013;202,5
BO;2013;10;4;04/10/2013;206,5
BO;2013;10;5;05/10/2013;208,5
BO;2013;11;1;01/11/2013;208,5
BO;2013;11;2;02/11/2013;209,5
BO;2013;11;3;03/11/2013;209,5
FI;2011;1;1;01/01/2011;230,5
FI;2011;1;2;02/01/2011;237,5
FI;2011;1;3;03/01/2011;242,5
FI;2011;1;4;04/01/2011;247,5
FI;2011;2;1;01/02/2011;247,5
FI;2011;2;2;02/02/2011;247,5
FI;2011;2;3;03/02/2011;247,5
FI;2011;2;4;04/02/2011;242,5
FI;2011;3;1;01/03/2011;237,5
FI;2011;3;2;02/03/2011;227,5
FI;2011;3;3;03/03/2011;217,5
FI;2011;3;4;04/03/2011;215,5
FI;2011;3;5;05/03/2011;215,5
FI;2011;4;1;01/04/2011;222,5
FI;2011;4;2;02/04/2011;222,5
FI;2011;4;3;03/04/2011;222,5
FI;2011;4;4;04/04/2011;222,5
FI;2011;5;1;01/05/2011;
FI;2011;5;2;02/05/2011;220
FI;2011;5;3;03/05/2011;220,5
FI;2011;5;4;04/05/2011;223,5
FI;2011;6;1;01/06/2011;225,5
FI;2011;6;2;02/06/2011;230
FI;2011;6;3;03/06/2011;
FI;2011;6;4;04/06/2011;
FI;2011;6;5;05/06/2011;
FI;2011;7;1;01/07/2011;
FI;2011;7;2;02/07/2011;182,5
FI;2011;7;3;03/07/2011;182,5
FI;2011;7;4;04/07/2011;
FI;2011;8;4;04/08/2011;182,5
FI;2011;9;1;01/09/2011;184,5
FI;2011;9;2;02/09/2011;185,5
FI;2011;9;3;03/09/2011;183,5
FI;2011;9;4;04/09/2011;181,5
FI;2011;9;5;05/09/2011;179,5
FI;2011;10;1;01/10/2011;175,5
FI;2011;10;2;02/10/2011;170,5
FI;2011;10;3;03/10/2011;170,5
FI;2011;10;4;04/10/2011;170,5
FI;2011;11;1;01/11/2011;170,5
FI;2011;11;2;02/11/2011;170,5
FI;2011;11;3;03/11/2011;170,5
FI;2011;11;4;04/11/2011;167,5
FI;2011;12;1;01/12/2011;167,5
FI;2011;12;2;02/12/2011;166,5
FI;2011;12;3;03/12/2011;165,5
FI;2011;12;4;04/12/2011;167,5
FI;2011;12;5;05/12/2011;166
FI;2012;1;1;01/01/2012;
FI;2012;1;2;02/01/2012;171,5
FI;2012;1;3;03/01/2012;171,5
FI;2012;1;4;04/01/2012;171,5
FI;2012;2;1;01/02/2012;171,5
FI;2012;2;2;02/02/2012;179,5
FI;2012;2;3;03/02/2012;177,5
FI;2012;2;4;04/02/2012;174,5
FI;2012;3;1;01/03/2012;172,5
FI;2012;3;2;02/03/2012;172,5
FI;2012;3;3;03/03/2012;174,5
FI;2012;3;4;04/03/2012;176,5
FI;2012;3;5;05/03/2012;179,5
FI;2012;4;1;01/04/2012;179,5
FI;2012;4;2;02/04/2012;179,5
FI;2012;4;3;03/04/2012;179,5
FI;2012;5;1;01/05/2012;182,5
FI;2012;5;2;02/05/2012;182,5
FI;2012;5;3;03/05/2012;180,5
FI;2012;5;4;04/05/2012;180,5
FI;2012;5;5;05/05/2012;180,5
FI;2012;6;1;01/06/2012;178,5
FI;2012;6;2;02/06/2012;
FI;2012;6;3;03/06/2012;
FI;2012;6;4;04/06/2012;188
FI;2012;7;1;01/07/2012;194
FI;2012;7;2;02/07/2012;200
FI;2012;7;3;03/07/2012;210
FI;2012;7;4;04/07/2012;212
FI;2012;8;1;01/08/2012;215
FI;2012;8;4;04/08/2012;225
FI;2012;8;5;05/08/2012;225
FI;2012;9;1;01/09/2012;225
FI;2012;9;2;02/09/2012;225
FI;2012;9;3;03/09/2012;225
FI;2012;9;4;04/09/2012;223
FI;2012;10;1;01/10/2012;223
FI;2012;10;2;02/10/2012;223
FI;2012;10;3;03/10/2012;223
FI;2012;10;4;04/10/2012;223
FI;2012;11;1;01/11/2012;223
FI;2012;11;2;02/11/2012;227
FI;2012;11;3;03/11/2012;230
FI;2012;11;4;04/11/2012;230
FI;2012;11;5;05/11/2012;234
FI;2012;12;1;01/12/2012;234
FI;2012;12;2;02/12/2012;234
FI;2012;12;3;03/12/2012;
FI;2013;1;1;01/01/2013;232
FI;2013;1;2;02/01/2013;230
FI;2013;1;3;03/01/2013;229
FI;2013;1;4;04/01/2013;227
FI;2013;1;5;05/01/2013;223
FI;2013;2;1;01/02/2013;221
FI;2013;2;2;02/02/2013;217
FI;2013;2;3;03/02/2013;215
FI;2013;2;4;04/02/2013;213
FI;2013;3;1;01/03/2013;211
FI;2013;3;2;02/03/2013;201
FI;2013;3;3;03/03/2013;212
FI;2013;3;4;04/03/2013;
FI;2013;4;1;01/04/2013;217
FI;2013;4;2;02/04/2013;220
FI;2013;4;3;03/04/2013;223
FI;2013;4;4;04/04/2013;223
FI;2013;5;1;01/05/2013;223
FI;2013;5;2;02/05/2013;223
FI;2013;5;3;03/05/2013;218
FI;2013;5;4;04/05/2013;216
FI;2013;5;5;05/05/2013;214
FI;2013;6;1;01/06/2013;
FI;2013;6;2;02/06/2013;
FI;2013;6;3;03/06/2013;
FI;2013;6;4;04/06/2013;
FI;2013;7;1;01/07/2013;
FI;2013;7;2;02/07/2013;172,5
FI;2013;7;3;03/07/2013;171,5
FI;2013;7;4;04/07/2013;169,5
FI;2013;8;1;01/08/2013;169,5
FI;2013;8;4;04/08/2013;
FI;2013;8;5;05/08/2013;169,5
FI;2013;9;1;01/09/2013;169,5
FI;2013;9;2;02/09/2013;169,5
FI;2013;9;3;03/09/2013;168,5
FI;2013;9;4;04/09/2013;166,5
FI;2013;10;1;01/10/2013;232
FI;2013;10;2;02/10/2013;166,5
FI;2013;10;3;03/10/2013;171,5
FI;2013;10;4;04/10/2013;175,5
FI;2013;10;5;05/10/2013;177,5
FI;2013;11;1;01/11/2013;177,5
FI;2013;11;2;02/11/2013;177,5
FI;2013;11;3;03/11/2013;177,5
GR;2011;1;1;01/01/2011;267,66
GR;2011;1;2;02/01/2011;277,66
GR;2011;1;3;03/01/2011;287,66
GR;2011;1;4;04/01/2011;292,66
GR;2011;2;1;01/02/2011;302,66
GR;2011;2;2;02/02/2011;302,66
GR;2011;2;3;03/02/2011;302,66
GR;2011;2;4;04/02/2011;292,66
GR;2011;3;1;01/03/2011;292,66
GR;2011;3;2;02/03/2011;282,66
GR;2011;3;3;03/03/2011;277,66
GR;2011;3;4;04/03/2011;267,66
GR;2011;3;5;05/03/2011;267,66
GR;2011;4;1;01/04/2011;
GR;2011;4;2;02/04/2011;
GR;2011;4;3;03/04/2011;
GR;2011;4;4;04/04/2011;
GR;2011;5;1;01/05/2011;
GR;2011;5;2;02/05/2011;
GR;2011;5;3;03/05/2011;
GR;2011;5;4;04/05/2011;
GR;2011;6;1;01/06/2011;
GR;2011;6;2;02/06/2011;
GR;2011;6;3;03/06/2011;
GR;2011;6;4;04/06/2011;
GR;2011;6;5;05/06/2011;
GR;2011;7;1;01/07/2011;267,66
GR;2011;7;2;02/07/2011;232,66
GR;2011;7;3;03/07/2011;232,66
GR;2011;7;4;04/07/2011;232,66
GR;2011;8;4;04/08/2011;227,66
GR;2011;9;1;01/09/2011;227,66
GR;2011;9;2;02/09/2011;227,66
GR;2011;9;3;03/09/2011;227,66
GR;2011;9;4;04/09/2011;222,66
GR;2011;9;5;05/09/2011;222,66
GR;2011;10;1;01/10/2011;222,66
GR;2011;10;2;02/10/2011;212,66
GR;2011;10;3;03/10/2011;212,66
GR;2011;10;4;04/10/2011;212,66
GR;2011;11;1;01/11/2011;212,66
GR;2011;11;2;02/11/2011;212,66
GR;2011;11;3;03/11/2011;212,66
GR;2011;11;4;04/11/2011;212,66
GR;2011;12;1;01/12/2011;212,66
GR;2011;12;2;02/12/2011;212,66
GR;2011;12;3;03/12/2011;207,66
GR;2011;12;4;04/12/2011;
GR;2011;12;5;05/12/2011;
GR;2012;1;1;01/01/2012;
GR;2012;1;2;02/01/2012;217,66
GR;2012;1;3;03/01/2012;217,66
GR;2012;1;4;04/01/2012;217,66
GR;2012;2;1;01/02/2012;222,66
GR;2012;2;2;02/02/2012;227,66
GR;2012;2;3;03/02/2012;
GR;2012;2;4;04/02/2012;222,66
GR;2012;3;1;01/03/2012;217,66
GR;2012;3;2;02/03/2012;
GR;2012;3;3;03/03/2012;222,66
GR;2012;3;4;04/03/2012;227,66
GR;2012;3;5;05/03/2012;230,66
GR;2012;4;1;01/04/2012;230,66
GR;2012;4;2;02/04/2012;230,66
GR;2012;4;3;03/04/2012;230,66
GR;2012;5;1;01/05/2012;230,66
GR;2012;5;2;02/05/2012;230,66
GR;2012;5;3;03/05/2012;227,66
GR;2012;5;4;04/05/2012;227,66
GR;2012;5;5;05/05/2012;232,66
GR;2012;6;1;01/06/2012;
GR;2012;6;2;02/06/2012;
GR;2012;6;3;03/06/2012;
GR;2012;6;4;04/06/2012;217,66
GR;2012;7;1;01/07/2012;222,66
GR;2012;7;2;02/07/2012;237,66
GR;2012;7;3;03/07/2012;247,66
GR;2012;7;4;04/07/2012;257,66
GR;2012;8;1;01/08/2012;262,66
GR;2012;8;4;04/08/2012;272,66
GR;2012;8;5;05/08/2012;282,66
GR;2012;9;1;01/09/2012;282,66
GR;2012;9;2;02/09/2012;282,66
GR;2012;9;3;03/09/2012;272,66
GR;2012;9;4;04/09/2012;267,66
GR;2012;10;1;01/10/2012;265,66
GR;2012;10;2;02/10/2012;265,66
GR;2012;10;3;03/10/2012;265,66
GR;2012;10;4;04/10/2012;265,66
GR;2012;11;1;01/11/2012;265,66
GR;2012;11;2;02/11/2012;
GR;2012;11;3;03/11/2012;272,66
GR;2012;11;4;04/11/2012;272,66
GR;2012;11;5;05/11/2012;277,66
GR;2012;12;1;01/12/2012;277,66
GR;2012;12;2;02/12/2012;277,66
GR;2012;12;3;03/12/2012;
GR;2013;1;1;01/01/2013;277,66
GR;2013;1;2;02/01/2013;
GR;2013;1;3;03/01/2013;272,66
GR;2013;1;4;04/01/2013;272,66
GR;2013;1;5;05/01/2013;270,66
GR;2013;2;1;01/02/2013;267,66
GR;2013;2;2;02/02/2013;264,16
GR;2013;2;3;03/02/2013;259,16
GR;2013;2;4;04/02/2013;
GR;2013;3;1;01/03/2013;
GR;2013;3;2;02/03/2013;254,16
GR;2013;3;3;03/03/2013;257,16
GR;2013;3;4;04/03/2013;259,16
GR;2013;4;1;01/04/2013;259,16
GR;2013;4;2;02/04/2013;259,16
GR;2013;4;3;03/04/2013;259,16
GR;2013;4;4;04/04/2013;
GR;2013;5;1;01/05/2013;
GR;2013;5;2;02/05/2013;262,66
GR;2013;5;3;03/05/2013;257,66
GR;2013;5;4;04/05/2013;257,66
GR;2013;5;5;05/05/2013;257,66
GR;2013;6;1;01/06/2013;257,66
GR;2013;6;2;02/06/2013;
GR;2013;6;3;03/06/2013;
GR;2013;6;4;04/06/2013;
GR;2013;7;1;01/07/2013;
GR;2013;7;2;02/07/2013;
GR;2013;7;3;03/07/2013;210,16
GR;2013;7;4;04/07/2013;204,16
GR;2013;8;1;01/08/2013;
GR;2013;8;4;04/08/2013;
GR;2013;8;5;05/08/2013;202,66
GR;2013;9;1;01/09/2013;202,66
GR;2013;9;2;02/09/2013;202,66
GR;2013;9;3;03/09/2013;202,66
GR;2013;9;4;04/09/2013;202,66
GR;2013;10;1;01/10/2013;192,66
GR;2013;10;2;02/10/2013;192,66
GR;2013;10;3;03/10/2013;192,66
GR;2013;10;4;04/10/2013;192,66
GR;2013;10;5;05/10/2013;
GR;2013;11;1;01/11/2013;197,66
GR;2013;11;2;02/11/2013;197,66
GR;2013;11;3;03/11/2013;197,66
MI;2011;1;1;01/01/2011;288,5
MI;2011;1;2;02/01/2011;289,5
MI;2011;1;3;03/01/2011;292,5
MI;2011;1;4;04/01/2011;296,5
MI;2011;2;1;01/02/2011;299,5
MI;2011;2;2;02/02/2011;299,5
MI;2011;2;3;03/02/2011;302,5
MI;2011;2;4;04/02/2011;300,5
MI;2011;3;1;01/03/2011;295,5
MI;2011;3;2;02/03/2011;288,5
MI;2011;3;3;03/03/2011;268,5
MI;2011;3;4;04/03/2011;268,5
MI;2011;3;5;05/03/2011;272,5
MI;2011;4;1;01/04/2011;279,5
MI;2011;4;2;02/04/2011;279,5
MI;2011;4;3;03/04/2011;279,5
MI;2011;4;4;04/04/2011;283,5
MI;2011;5;1;01/05/2011;280,5
MI;2011;5;2;02/05/2011;
MI;2011;5;3;03/05/2011;273
MI;2011;5;4;04/05/2011;282,5
MI;2011;6;1;01/06/2011;282,5
MI;2011;6;2;02/06/2011;182,5
MI;2011;6;3;03/06/2011;
MI;2011;6;4;04/06/2011;
MI;2011;6;5;05/06/2011;227,5
MI;2011;7;1;01/07/2011;227,5
MI;2011;7;2;02/07/2011;227,5
MI;2011;7;3;03/07/2011;227,5
